speakerID|speechID|date|num_order_within_file|file|line_start|line_end|page|char count|word count|state|name|chamber|district|party
104128|10419950001379|950119|34|Hcr19ja95-62 1.txt|169|170|H344-H345|60|13|IL|Cardiss Collins|H|7|D
104400|10419950005157|950202|31|Hcr02fe95-56 1.txt|685|727|H1078-H1142|2523|444|UT|Enid Greene Waldholtz|H|2|R
104128|10419950005955|950203|257|Hcr03fe95-77 1.txt|3882|3882|H1168-H1191|39|7|IL|Cardiss Collins|H|7|D
104900|10419950007261|950209|212|Hcr09fe95-60 1.txt|3986|3989|H1472-H1526|65|11|NA|Speaker|NA|NA|N/A
104222|10419950008401|950210|4|Hcr10fe95-60 1.txt|72|153|H1604-H1608|5184|969|MS|Gene Taylor|H|5|D
104275|10419950010486|950216|159|Hcr16fe95-87 1.txt|2512|2513|H1862-H1890|89|16|NY|Benjamin A. Gilman|H|20|R
104121|10419950011475|950222|102|Hcr22fe95-85 1.txt|3603|3630|H2010-H2029|1784|310|ID|Michael D. Crapo|H|2|R
104900|10419950012614|950227|1|Hcr27fe95-62 1.txt|17|18|H2260-H2261|80|15|NA|Speaker|NA|NA|N/A
104374|10419950013345|950228|24|Hcr28fe95-76 1.txt|302|307|H2345-H2373|358|69|TX|Joe Barton|H|6|R
104045|10419950015335|950306|57|Hcr06mr95-63 1.txt|840|841|H2663-H2703|111|20|CA|Carlos J. Moorhead|H|27|R
104110|10419950016968|950308|76|Hcr08mr95-80 1.txt|955|958|H2864-H2872|75|13|GA|John Linder|H|4|R
104325|10419950017464|950309|157|Hcr09mr95-66 1.txt|3426|3867|H2923-H2940|171|30|OR|Elizabeth Furse|H|1|D
104248|10419950018267|950315|1|Hcr15mr95-52 1.txt|18|32|H3161|833|136|NJ|Robert Torricelli|H|9|D
104114|10419950018825|950315|144|Hcr15mr95-76 1.txt|3372|3384|H3227-H3272|807|149|GA|Saxby Chambliss|H|8|R
104133|10419950019108|950315|427|Hcr15mr95-76 1.txt|8987|9020|H3227-H3272|2107|377|IL|Jerry F. Costello|H|12|D
104900|10419950019240|950316|95|Hcr16mr95-67 1.txt|1183|1184|H3281-H3303|57|8|NA|Speaker|NA|NA|N/A
104541|10419950019526|950316|9|Hcr16mr95-83 1.txt|492|541|H3318-H3325|3208|574|CA|Walter Tucker|H|37|D
104900|10419950019875|950321|1|Hcr21mr95-52 1.txt|14|49|H3333-H3334|1509|237|NA|Speaker|NA|NA|N/A
104900|10419950020433|950323|14|Hcr23mr95-107 1.txt|40|41|H3710-H3711|45|9|NA|Speaker|NA|NA|N/A
104007|10419950020634|950323|1|Hcr23mr95-70 1.txt|16|34|H3579|1092|187|AL|Earl F. Hilliard|H|7|D
104320|10419950020965|950323|315|Hcr23mr95-87 1.txt|3567|3572|H3581-H3631|281|55|OK|Thomas A. Coburn|H|2|R
104900|10419950021345|950324|1|Hcr24mr95-115 1.txt|12|14|H3795|107|18|NA|Speaker|NA|NA|N/A
104371|10419950022833|950403|1|Hcr03ap95-54 1.txt|18|31|H4043|811|135|TX|Sam Johnson|H|3|R
104053|10419950023220|950404|14|Hcr04ap95-128 1.txt|42|42|H4142|36|5|CA|Maxine Waters|H|35|D
104900|10419950023274|950404|2|Hcr04ap95-135 1.txt|29|30|H4143|64|11|NA|Speaker|NA|NA|N/A
104410|10419950023878|950405|1|Hcr05ap95-98 1.txt|14|14|H4212-H4213|43|7|VA|James P. Moran|H|8|D
104900|10419950026535|950515|167|Hcr15my95-64 1.txt|3091|3094|H4934-H4956|66|11|NA|Speaker|NA|NA|N/A
104342|10419950028422|950523|16|Hcr23my95-76 1.txt|507|517|H5461-H5468|623|105|PA|Jon Fox|H|13|R
104900|10419950029145|950607|1|Hcr07jn95-31 1.txt|16|19|H5625|108|20|NA|Speaker|NA|NA|N/A
104900|10419950029973|950608|100|Hcr08jn95-137 1.txt|2094|2094|H5710-H5734|18|3|NA|Speaker|NA|NA|N/A
104176|10419950030550|950613|95|Hcr13jn95-88 1.txt|8490|8490|H5833-H5883|51|9|MD|Wayne T. Gilchrest|H|1|R
104388|10419950031033|950614|2|Hcr14jn95-89 1.txt|17|66|H5979|1423|253|TX|Henry B. Gonzalez|H|20|D
104900|10419950035655|950630|41|Hcr30jn95-73 1.txt|704|710|H6661-H6675|218|34|NA|Speaker|NA|NA|N/A
104137|10419950036773|950712|35|Hcr12jy95-100 1.txt|686|698|H6906-H6912|696|139|IL|Donald A. Manzullo|H|16|R
104160|10419950038908|950717|423|Hcr17jy95-42 1.txt|5901|5903|H7030-H7062|182|30|KS|Todd Tiahrt|H|4|R
104184|10419950039392|950718|135|Hcr18jy95-82 1.txt|2772|2772|H7102-H7135|34|6|MA|John W. Olver|H|1|D
104042|10419950040554|950720|5|Hcr20jy95-57 1.txt|350|351|H7265-H7272|55|11|CA|Anthony C. Beilenson|H|24|D
104429|10419950041877|950721|118|Hcr21jy95-69 1.txt|2750|2771|H7412-H7429|1194|225|WI|Gerald D. Kleczka|H|4|D
104071|10419950042074|950724|3|Hcr24jy95-50 1.txt|117|142|H7476-H7481|1608|319|CO|Patricia Schroeder|H|1|D
104900|10419950042329|950724|51|Hcr24jy95-56 1.txt|477|478|H7507-H7539|40|7|NA|Speaker|NA|NA|N/A
104191|10419950043456|950726|271|Hcr26jy95-54 1.txt|5376|5376|H7709-H7751|20|4|MA|Joseph P. Kennedy|H|8|D
104900|10419950049432|950912|1|Hcr12se95-99 1.txt|14|17|H8788-H8800|182|30|NA|Speaker|NA|NA|N/A
104900|10419950051537|950921|7|Hcr21se95-62 1.txt|1728|3469|H9368-H9399|2036|307|NA|Speaker|NA|NA|N/A
104020|10419950052693|950928|148|Hcr28se95-47 1.txt|1402|1426|H9601-H9625|1540|255|CA|Wally Herger|H|2|R
104210|10419950053629|951011|7|Hcr11oc95-116 1.txt|185|192|H9867-H9874|493|93|MN|Gil Gutknecht|H|1|R
104019|10419950053721|951011|14|Hcr11oc95-118 1.txt|208|263|H9886-H9893|3428|616|CA|Frank Riggs|H|1|R
104900|10419950058506|951030|1|Hcr30oc95-71 1.txt|19|20|H11425|109|19|NA|Speaker|NA|NA|N/A
104277|10419950061392|951110|61|Hcr10no95-62 1.txt|222|225|H12119-H12123|207|41|NY|Gerald B.H. Solomon|H|22|R
104083|10419950063611|951116|136|Hcr16no95-72 1.txt|2853|2854|H13064-H13086|59|11|DE|Michael N. Castle|H|99|R
104187|10419950063850|951116|21|Hcr16no95-74 1.txt|340|341|H13095-H13098|42|7|MA|Barney Frank|H|4|D
104187|10419950063874|951116|12|Hcr16no95-75 1.txt|65|66|H13098-H13099|74|12|MA|Barney Frank|H|4|D
104900|10419950066694|951205|26|Hcr05de95-89 1.txt|372|377|H13955-H13957|270|49|NA|Speaker|NA|NA|N/A
104197|10419950066756|951205|23|Hcr05de95-94 1.txt|933|947|H13962-H13971|914|148|MI|Dave Camp|H|4|R
104192|10419950067603|951207|18|Hcr07de95-83 1.txt|380|382|H14182-H14204|196|39|MA|John Joseph Moakley|H|9|D
104900|10419950067627|951207|42|Hcr07de95-83 1.txt|580|1022|H14182-H14204|206|35|NA|Speaker|NA|NA|N/A
104394|10419950072019|951221|25|Hcr21de95-75 1.txt|193|193|H15544-H15546|42|7|TX|Richard K. Armey|H|26|R
104506|10419950072990|950105|13|Scr05ja95-136 1.txt|1217|1422|S439-S456|12600|2047|OH|John Glenn|S|NA|D
104466|10419950073526|950106|1|Scr06ja95-41 1.txt|15|26|S575-S576|649|103|KS|Bob Dole|S|NA|R
104506|10419950073825|950110|76|Scr10ja95-19 1.txt|796|796|S707-S727|44|8|OH|John Glenn|S|NA|D
104900|10419950077995|950125|71|Scr25ja95-137 1.txt|2467|2467|S1498-S1524|37|7|NA|Speaker|NA|NA|N/A
104538|10419950078819|950130|1|Scr30ja95-98 1.txt|16|60|S1729-S1730|2701|478|WY|Craig Thomas|S|NA|R
104518|10419950080444|950209|18|Scr09fe95-114 1.txt|446|447|S2394-S2398|67|11|SC|Ernest Hollings|S|NA|D
104900|10419950080620|950210|2|Scr10fe95-87 1.txt|18|23|S2457-S2483|180|28|NA|Speaker|NA|NA|N/A
