speechID|speech|speakerID|date|num_order_within_file|file|line_start|line_end|page|char count|word count|state|name|chamber|district|party
10419950001379|In this particular CR?|104128|950119|34|Hcr19ja95-62 1.txt|169|170|H344-H345|60|13|IL|Cardiss Collins|H|7|D
10419950005157|Mr. Speaker, I ask unanimous consent that all Members may have 5 legislative days within which to revise and extend their remarks on H.R. 2853.|104400|950202|31|Hcr02fe95-56 1.txt|685|727|H1078-H1142|2523|444|UT|Enid Greene Waldholtz|H|2|R
10419950005955|Mr. Speaker, I thank the gentleman for yielding time to me. Mr. Speaker, while I support our committee's efforts to obtain all of the relevant information regarding the Travel Office firings, I do not believe that this resolution, which grants authority to staff to conduct sworn depositions, is necessary. Let me add, however, that earlier today the Committee on Government Reform and Oversight adopted procedures to implement the resolution which accord full rights to the minority and the witnesses, and I supported these procedures. The authority granted under this resolution is unnecessary and unwarranted. House Resolution 369 is an unprecedented grant of authority to the staff of a standing committee during the course of an ongoing investigation on the eve of a Presidential election. Under such troubling circumstances, there is a heavy burden on the proponents of the resolution to show a compelling need for such authority. We should not act just for the convenience of the staff, or because of an isolated case of a reluctant witness. There must be a convincing case that without this authority, the committee cannot complete its investigation. I do not believe that this threshold has been met. According to Chairman Clinger's letter to the Rules Committee, the stated reason for the Resolution is that--I'm quoting--``we have been faced with the reluctance and even refusal of certain potential witnesses to voluntarily submit to staff interviews preliminary to a hearing.'' I am aware of no evidence that witnesses have refused to cooperate with the committee during the course of this investigation. Nor have I seen any letters from witnesses refusing to provide information to the committee. Further, I know of no witness who has refused to provide testimony to the committee under oath. The Rules Committee received no documentation nor testimony demonstrating a compelling need for this extraordinary authority. To the contrary, the record suggests that witnesses agreed to cooperate with the committee, except when unwarranted conditions have been demanded by the majority staff. To the extent that witnesses have been reluctant to submit to interviews, it has only been after demands by the majority staff that minority staff not be present, or that interviews be taken under an oath administered by a staff that lacked such authority. Mr. Speaker, both the Parliamentarians and the American Law Division of the Congressional Research Service has told majority staff that there was no authority for staff to take sworn depositions absent a resolution by the House. Yet, knowing full well that they lacked both the authority to require a sworn deposition and the ability to administer an oath to witnesses, the majority staff repeatedly threatened witnesses in an effort to force them to comply. As evidence of this behavior by the majority staff, let me read from a letter to Chairman Clinger dated December 4 of last year, from David H. Williams, the attorney representing Patsy Thomasson: It says in part: Mr. Speaker, I include this letter for the Record at this point: I also include a February 20, 1996, letter from Stephen L. Braga, the attorney representing Catherine Cornelius to Chairman Clinger's staff for the Record. In it, the attorney for Ms. Cornelius agreed to make her available for transcribed interview provided that both majority and minority staff were present. The majority staff turned him down, however, because he would not agree to swearing in his client, even though, as I have stated, the majority staff knew it had no legal authority to do so. The letter is as follows: Mr. Speaker, if the majority staff conducts itself in a professional and non-partisan manner and in keeping with the decorum of the House. I believe they will find no resistance to timely informal interviews. In those cases where there is reluctance, are brought to my attention I will work with the chairman in urging complete cooperation. I sincerely hope and expect that the authority granted by this resolution will be reserved for those few cases where it is absolutely necessary, and not routinely exercised as a substitute for the regular practices of the House. Let me turn to another issue concerning the rights of witnesses. Following discussions with the Parliamentarian, I am aware of no precedent of a witness who has objected to a question or failed to appear for a staff deposition being cited for contempt without an opportunity to explain his actions before the entire committee. This resolution does not supplant existing House rules regarding contempt of Congress and the rights accorded to witnesses. Nothing in this resolution would require a contempt citation simply because a witness under subpoena refuses to appear before or answer questions in a staff deposition. Prior to any action, the committee should give the witness an opportunity to respond fully at a duly called hearing of the committee, with a proper quorum of members present. In closing, let me thank Chairman Clinger for his cooperation earlier today in adopting committee implementing rules which accord full rights to the minority and the witnesses. I have also received a letter from Chairman Clinger further clarifying how he intends to interpret these rules. I include the committee rules and the chairman's letter for the Record, as follows:|104128|950203|257|Hcr03fe95-77 1.txt|3882|3882|H1168-H1191|39|7|IL|Cardiss Collins|H|7|D
10419950007261|Pursuant to the order of the House of May 12, 1995, the Chair will now recognize Members from lists submitted by the majority and minority leaders for morning hour debates. The Chair will alternate recognition between the parties, with each party limited to not to exceed 30 minutes, and each Member except the majority and minority leaders limited to not to exceed 5 minutes.|104900|950209|212|Hcr09fe95-60 1.txt|3986|3989|H1472-H1526|65|11|NA|Speaker|NA|NA|N/A
10419950008401|Mr. Chairman, this amendment deals with striking the family immigration sections of the bill in order to address these issues in a more seemly and deliberative manner, and I agree with that. If we are for family values, we need to value families; and that is what the Berman amendment would do. However, disapproval of the Berman amendment will also have implications for the business community. I recently received a letter from a Mr. Yao, who lives in Mountain View, CA. I cannot read his whole letter, but I can excerpt from it. He is a senior scientist at his company, an American company, and is originally from China. When he started with the company, it was a very small company, but it has since experienced rapid growth and expansion. Its products are well received. In fact, the company received an award for outstanding achievement from the White House. The major reason why the company has done so well is that Mr. Yao has designed all of the antennas that the company sells and in fact is the holder of a number of patents. However, a few years ago, he missed his daughter in China so much that he was going to take his patients and go home to China. However, the company, fearing to lose him and to lose their business, petitioned to make him a permanent resident so that his daughter could come here. He wrote to me to say that she is now 30 years old, and he is desperate to see her, but she cannot come for a visit because of the pending application. Mr. Chairman, I guess the upshot is that, if the Smith bill passes without the Berman amendment, Mr. Yao can take his patents and go home to China. Then we can have the opportunity to compete with a Chinese company that he founds instead of dominating our economic adversaries abroad. I think it is worth noting that one of the fastest growing companies in our country, Intel, was founded by an immigrant. Sun Microsystems was founded by immigrants. The Java computer technology that is taking off on the Internet was devised by an immigrant. We are shooting ourselves in the foot if we fail to adopt the Berman amendment, economically, and also hurting families.|104222|950210|4|Hcr10fe95-60 1.txt|72|153|H1604-H1608|5184|969|MS|Gene Taylor|H|5|D
10419950010486|Mr. Speaker, if the gentleman will yield further, first of all we are not here to either praise Caesar or bury Caesar, Caesar being the current Tax Code; we are here to come up with an amendment to make it more difficult to raise taxes. I guess what I might have said when I said ``least offensive,'' we wanted to use a term that was as close to revenue neutrality as possible, without saying revenue-neutral, because it is physically impossible if you want to change the entire tax system or you want to monitor it or modify it in some way, to speculate down to the penny that the change is not going to increase taxes. So de minimis was as close to revenue-neutral in terms of terminology as we could get.|104275|950216|159|Hcr16fe95-87 1.txt|2512|2513|H1862-H1890|89|16|NY|Benjamin A. Gilman|H|20|R
10419950011475|I was going to say, whether you are talking about tax reform, health care reform, Medicare reform, welfare reform, reforming the way Congress does business, opening up the process, really what this debate is about is whose country is it, and whose government is it, and who is in charge, and whose money is it? And for too long we have sort of taken, or our predecessors have taken the attitude in Washington that it is Washington's money and Washington's government. One of my favorite Presidents once observed we are a people with a government, and not the other way around. And really all of these reforms are about opening up the process. The beauty of this Congress is for the first time we are having honest and healthy debates about what kind of a Medicare system we are going to have, what kind of welfare system should we have? We have agreed that the problem with our welfare system is not that it costs so much money. The problem with our welfare system in America today is that it costs too much in human potential. We have created dependency. When Representative Tauzin talks about our tax system, it is a system riddled with perverse incentives. Throughout all of our programs, it is a system of perverse incentives. No good deed goes unpunished. Frankly, it is wrong, and the America people know it is wrong. If there is a reform party, I think once the American people get a chance to look at these issues, what has really happened in the 104th Congress, how the process has been opened up, how we finally had honest debates about real reform, returning more power back to the people, I think they will agree that there is a reform party in the United States of America, and it is our party, and it is this party that forged those reforms, it is this freshman class, if you will, that has really forced the agenda to make those changes, to change the attitudes in Washington, and begin the process of giving the people the power back. And that is what this Congress is about. I hope that as we go forward, we will have more opportunities this spring to have this kind of a dialog, this kind of a discussion, because I believe facts are our friends, and once the American people have the facts, whether it is about our budget, about Medicare, about tax reform, all of those other issues, I think it makes it very easy for us to win the debate, for them to win the debate, because facts are our friends and, as John Adams said, ``Facts are stubborn things.''|104121|950222|102|Hcr22fe95-85 1.txt|3603|3630|H2010-H2029|1784|310|ID|Michael D. Crapo|H|2|R
10419950012614|Objection is heard|104900|950227|1|Hcr27fe95-62 1.txt|17|18|H2260-H2261|80|15|NA|Speaker|NA|NA|N/A
10419950013345|The gentleman from Colorado is recognized for 1\3/4\ minutes.|104374|950228|24|Hcr28fe95-76 1.txt|302|307|H2345-H2373|358|69|TX|Joe Barton|H|6|R
10419950015335|Mr. Speaker, I move that the House do now adjourn. The motion was agreed to; accordingly , the House adjourned until tomorrow, Thursday, May 9, 1996, at 10 a.m.|104045|950306|57|Hcr06mr95-63 1.txt|840|841|H2663-H2703|111|20|CA|Carlos J. Moorhead|H|27|R
